City 1,City 2,Aerial Distance
Jerusalem,Gaza City,76.95450526887859
Jerusalem,Ramallah,14.450468857447179
Jerusalem,Hebron,28.33955566903601
Jerusalem,Nablus,50.7276157077498
Jerusalem,Bethlehem,7.075326020624473
Jerusalem,Jenin,77.47635051103632
Jerusalem,Tulkarm,63.08689714526145
Jerusalem,Jericho,23.634491232190346
Jerusalem,Rafah,106.69257208494714
Jerusalem,Khan Yunis,97.848043046331
Jerusalem,Beit Lahia,71.95781462269575
Jerusalem,Beit Jala,6.1545579190188
Jerusalem,Qalqilya,52.038837461885194
Jerusalem,Gaza Beach,78.95181479593967
Gaza City,Ramallah,82.3510150083294
Gaza City,Hebron,61.23917613659131
Gaza City,Nablus,109.07684165466954
Gaza City,Bethlehem,73.75020727147245
Gaza City,Jenin,131.1813965690627
Gaza City,Tulkarm,103.37404705651744
Gaza City,Jericho,100.5264540437516
Gaza City,Rafah,32.84339962501955
Gaza City,Khan Yunis,24.51693535716841
Gaza City,Beit Lahia,4.996936916375592
Gaza City,Beit Jala,74.35742583299508
Gaza City,Qalqilya,90.70207574641042
Gaza City,Gaza Beach,2.1234839189883252
Ramallah,Hebron,41.8112472617066
Ramallah,Nablus,36.51529907362104
Ramallah,Bethlehem,21.416745433766586
Ramallah,Jenin,63.25832420965809
Ramallah,Tulkarm,49.07055985804487
Ramallah,Jericho,22.66988773313151
Ramallah,Rafah,113.73712243449037
Ramallah,Khan Yunis,104.882083535934
Ramallah,Beit Lahia,77.43826762838793
Ramallah,Beit Jala,20.53885297249253
Ramallah,Qalqilya,38.76472353690224
Ramallah,Gaza Beach,84.20072907771207
Hebron,Nablus,78.25299009342964
Hebron,Bethlehem,21.53086132624773
Hebron,Jenin,104.93722164613874
Hebron,Tulkarm,87.10063682364935
Hebron,Jericho,48.5139881586639
Hebron,Rafah,86.21115737851855
Hebron,Khan Yunis,77.70580275316824
Hebron,Beit Lahia,56.545045986357934
Hebron,Beit Jala,22.485576801420752
Hebron,Qalqilya,74.59368466666986
Hebron,Gaza Beach,63.36262479874305
Nablus,Bethlehem,57.79158440889581
Nablus,Jenin,26.75363244779996
Nablus,Tulkarm,24.20793763995319
Nablus,Jericho,43.71681226853287
Nablus,Rafah,141.81863128784627
Nablus,Khan Yunis,133.20553500771092
Nablus,Beit Lahia,104.58083363574951
Nablus,Beit Jala,56.880933734210586
Nablus,Qalqilya,25.520059687984244
Nablus,Gaza Beach,110.59210412427448
Bethlehem,Jenin,84.54280326286279
Bethlehem,Tulkarm,69.57919014871561
Bethlehem,Jericho,28.213483133034465
Bethlehem,Rafah,102.47550475381723
Bethlehem,Khan Yunis,93.68048319786682
Bethlehem,Beit Lahia,68.76800157290408
Bethlehem,Beit Jala,0.9564685995363906
Bethlehem,Qalqilya,58.1490426369741
Bethlehem,Gaza Beach,75.80032771940817
Jenin,Tulkarm,29.96592652912884
Jenin,Jericho,68.34532209188787
Jenin,Rafah,164.00744606034525
Jenin,Khan Yunis,155.6462195568702
Jenin,Beit Lahia,126.99636236977472
Jenin,Beit Jala,83.63041991938405
Jenin,Qalqilya,40.87782482224386
Jenin,Gaza Beach,132.49679103041373
Tulkarm,Jericho,63.65122997991859
Tulkarm,Rafah,135.99949982588896
Tulkarm,Khan Yunis,127.8848398453075
Tulkarm,Beit Lahia,99.48491540770996
Tulkarm,Beit Jala,68.8162598342234
Tulkarm,Qalqilya,13.360599526397646
Tulkarm,Gaza Beach,104.52774002217771
Jericho,Rafah,130.278551114876
Jericho,Khan Yunis,121.44260033042265
Jericho,Beit Lahia,95.53174902667405
Jericho,Beit Jala,27.383568180138756
Jericho,Qalqilya,56.443313310640654
Jericho,Gaza Beach,102.50862265795769
Rafah,Khan Yunis,8.866051914878977
Rafah,Beit Lahia,37.23782052415224
Rafah,Beit Jala,103.20610008826124
Rafah,Qalqilya,123.45095428129616
Rafah,Gaza Beach,31.52058586785999
Khan Yunis,Beit Lahia,28.684145576367968
Khan Yunis,Beit Jala,94.40417723059812
Khan Yunis,Qalqilya,115.21558862103493
Khan Yunis,Gaza Beach,23.400896339201918
Beit Lahia,Beit Jala,69.37151723672113
Beit Lahia,Qalqilya,86.683161151234
Beit Lahia,Gaza Beach,7.0338337624470295
Beit Jala,Qalqilya,57.45426493872641
Beit Jala,Gaza Beach,76.4019823145524
Qalqilya,Gaza Beach,91.93416411125412