City 1,City 2,Road Distance (km)
Jerusalem,Gaza City,187.17273
Jerusalem,Ramallah,17.56927
Jerusalem,Hebron,34.87203
Jerusalem,Nablus,69.31698
Jerusalem,Bethlehem,16.342950000000002
Jerusalem,Jenin,139.44848000000002
Jerusalem,Tulkarm,87.78422
Jerusalem,Jericho,37.11676
Jerusalem,Rafah,152.96819
Jerusalem,Khan Yunis,159.9815
Jerusalem,Beit Lahia,190.16531
Jerusalem,Beit Jala,16.88592
Jerusalem,Qalqilya,76.56416
Jerusalem,Gaza Beach,187.80645
Gaza City,Ramallah,209.77832999999998
Gaza City,Hebron,160.29355999999999
Gaza City,Nablus,225.27025
Gaza City,Bethlehem,177.99620000000002
Gaza City,Jenin,263.46138
Gaza City,Tulkarm,211.79713
Gaza City,Jericho,223.14452
Gaza City,Rafah,46.10749
Gaza City,Khan Yunis,28.03362
Gaza City,Beit Lahia,6.9677299999999995
Gaza City,Beit Jala,178.53917
Gaza City,Qalqilya,200.57706
Gaza City,Gaza Beach,2.91735
Ramallah,Hebron,51.38184
Ramallah,Nablus,52.631879999999995
Ramallah,Bethlehem,32.85276
Ramallah,Jenin,128.40559
Ramallah,Tulkarm,76.74133
Ramallah,Jericho,40.22675
Ramallah,Rafah,162.99855
Ramallah,Khan Yunis,170.01185999999998
Ramallah,Beit Lahia,200.19567
Ramallah,Beit Jala,33.39573
Ramallah,Qalqilya,65.52127
Ramallah,Gaza Beach,197.83680999999999